err_sentence,cor_sentence,error_point,error_type
친목이 심해지면 안되지만 전 그래도 도움 많이받는편이라서요,친목이 심해지면 안 되지만 전 그래도 도움 많이 받는 편이라서요.,,
시험기간에도 진짜 빠지는 날 업씨 총총 옵니다!,시험 기간에도 진짜 빠지는 날 없이 총총 옵니다!,,
"이불상에대한경제, 정치, 사회적이미를 알구싶어요.","이 불상에 대한 경제, 정치, 사회적 의미를 알고 싶어요.",,
수험생활 쫌 많이 힘들게 열심히 지내서요,수험생활 좀 많이 힘들게 열심히 지내서요.,,
면허따두 실제 도으로 못나갈거가타,면허 따도 실제 돈으로 못 나갈 거 같아.,,
이 단점이보완됀것은적절한 선지아닌가요??,이 단점이 보완된 것은 적절한 선지 아닌가요??,,
이번수능수학을 망치구 재수를 결심하게됀 학생입니다.,이번 수능 수학을 망치고 재수를 결심하게 된 학생입니다.,,
중소 이념 분쟁에서 어떤사안을 두고 중국과 소련이 대립하게됀건지도 궁금함니다!,중소 이념 분쟁에서 어떤 사안을 두고 중국과 소련이 대립하게 된 건지도 궁금합니다!,,
현대문학 수업에서 레포트를 쓴다 그러면 그 작품이 짚고 있는 사회의 문제점이나 작가의 의도 등 분석의 레포트를 써야 함.,"현대 문학 수업에서 리포트를 쓴다고 그러면 그 작품이 짚고 있는 사회의 문제점이나 작가의 의도 등, 분석의 리포트를 써야 함.",,
매트릭스 어쩌구 하면서요,매트릭스 어쩌고 하면서요.,,
그래서 걔네들이 다시 매장에다 팔수도없고 그래가지고 오히려 원가보다 더 내려서 팔게됐다는거야,"그래서 걔네들이 다시 매장에다 팔 수도 없고, 그래가지고 오히려 원가보다 더 내려서 팔게 됐다는 거야.",,
교과 챙기신거 보니까 생기부도 챙기셨을것 같아요,교과 챙기신 거 보니까 생기부도 챙기셨을 것 같아요.,,
하진않는것과 가튼 원리입니다.,하진 않는 것과 같은 원리입니다.,,
저도 바쁘면 막 날려써서 하나도 못 알아봄미다,저도 바쁘면 막 날려 써서 하나도 못 알아봅니다.,,
디게 악필인데 감사합니다,되게 악필인데 감사합니다.,,
사람들 다 건강회복하고 공부하라는대 그걸 어케 해야하는지 모르겟어요,사람들 다 건강 회복하고 공부하라는데 그걸 어떻게 해야 하는지 모르겠어요.,,
요즘은 일부러 더 그렇게 하게 되는듯 해요,요즘은 일부러 더 그렇게 하게 되는듯해요.,,
일단 증가를해야 증가율이크다구...,일단 증가를 해야 증가율이 크다고...,,
근대 뭔가 불안해서 들어야 할거 가타서 고민이네요.,근대 뭔가 불안해서 들어야 할거 같아서 고민이네요.,,
그리거 어떤상황에서 두 물체를 계로 볼수잇는건가요?,그리고 어떤 상황에서 두 물체를 계로 볼 수 있는 건가요?,,
가튼 내용 여러번 인강 듣고 있는 상황입니다,같은 내용 여러 번 인강 듣고 있는 상황입니다.,,
저거가리면 비율만알수잇지 정확한 평균은모르지안나요?,저걸 가리면 비율만 알 수 있지 정확한 평균은 모르지 않나요?,,
그렇게 모르는문제들 매일 고민하다 보면 점점 실력 느는게 느껴져요,그렇게 모르는 문제들 매일 고민하다 보면 점점 실력이 느는 게 느껴져요.,,
바빠져도 간간히 볼스있게 꾸주니 들어올게요,바빠져도 간간히 볼 수 있게 꾸준히 들어올게요!,,
열심히 하신 결과인가봄미다!,열심히 하신 결과인가 봅니다!,,
이와 비슷하게 처벌이나 재재 역시스스로에게 행하는거이아니라 타인에 의해 받는거이겠죠.,이와 비슷하게 처벌이나 제재 역시 스스로에게 행하는 것이 아니라 타인에 의해 받는 것이겠죠.,,
하긴 저도 백신 맞았는대 이곳저곳 막 아프구 열도나구 심한친구는 일주일도 넘게 힘들어하더라고요.,하긴 저도 백신 맞았는데 이곳저곳 막 아프고 열도 나고 심한 친구는 일주일도 넘게 힘들어하더라고요.,,
니 키를 알아야 돼지인지 아닌지 알지 몸무게만 보고 어떻케 알아,네 키를 알아야 돼지인지 아닌지 알지 몸무게만 보고 어떻게 알아?,,
지금은 국영수 우선으로 가져가시구요,지금은 국영수 우선으로 가져가시고요.,,
여기 이글을 읽어본까요,여기 이 글을 읽어볼까요?,,
리더 혼자가아닌 구성원들을시켜 일을 성취한다.,리더 혼자가 아닌 구성원들을 시켜 일을 성취한다.,,
스마트탭 있늕데 동생이 중학교 올라가는 바람에 뺏겼습니다,스마트탭 있는데 동생이 중학교 올라가는 바람에 뺏겼습니다.,,
여유가 있으면 봐도 되는데 그렇게까지는 추천드리지 아나요,여유가 있으면 봐도 되는데 그렇게까지는 추천드리지 않아요.,,
그럼 재가 관측할때 저는 양팔을 동시에들었씁니다.,그럼 제가 관측할 때 저는 양팔을 동시에 들었습니다.,,
친구들이 답 맞춰보자구 하네요.,친구들이 답 맞혀보자고 하네요.,,
주인공의내적 갈등이라고생각해씁니다,주인공의 내적 갈등이라고 생각했습니다.,,
그렇지않으면 그거도 결국 결과를 알구 푸는게돼지안나요?,그렇지 않으면 그것도 결국 결과를 알고 푸는 게 되지 않나요?,,
실시간으로 확진자 수나 방법이 공개되니가 개인위생만 신경쓰면 걸리진 않겟다는 확신도 좀 생겼어,실시간으로 확진자 수나 방법이 공개되니까 개인위생만 신경 쓰면 걸리진 않겠다는 확신도 좀 생겼어.,,
인식의 기준이어디까지인지가 죠금 애매하게느껴져요,인식의 기준이 어디까지인지가 조금 애매하게 느껴져요.,,
다만 집중이 안된다면 차라리 하는게 낫죠!,다만 집중이 안 된다면 차라리 하는 게 낫죠!,,
실패한내용 어디서 찾아볼수잇나?,실패한 내용 어디서 찾아볼 수 있나?,,
그리고 슬럼프 같은게 오면 어떡해 하셨나요?,그리고 슬럼프 같은 게 오면 어떻게 하셨나요?,,
실전에서 잘해석 못할거가타요.,실전에서 잘 해석 못할 것 같아요.,,
꼭 반복학습하셔서 숙달하시고본인의 곳으로만드시면좋겠씁니다,꼭 반복학습하셔서 숙달하시고 본인의 것으로 만드시면 좋겠습니다.,,
내년에이학교다니지도않을거라는애가.,내년에 이 학교 다니지도 않을 거라는 애가.,,
보기문제는 제 생각에는 선지를 보는 게 가장 큰 관건이라구 봐요!,보기 문제는 제 생각에는 선지를 보는 게 가장 큰 관건이라고 봐요.,,
저처럼중하위권은 잘 도움이안됀다하는대 맞는 얘기인가요?,저처럼 중하위권은 잘 도움이 안된다 하는데 맞는 얘기인가요?,,
필수부사어가 빠지면 문장이 성립하지안는다고...,필수 부사어가 빠지면 문장이 성립하지 않는다고...,,
위치가 같고 속두가 동일해서 유도전류 세기가 갔다고...,위치가 같고 속도가 동일해서 유도 전류 세기가 같다고...,,
"처음배우면 물리가 훨씬 어려운데, 이후에 만점은 생명이 훨씬 어렵습니디.","처음 배우면 물리가 훨씬 어려운데, 이후에 만점은 생명이 훨씬 어렵습니다.",,
피곤한 상티로 찍은 거라 설명이 두서 없을 수 있습니다.,피곤한 상태로 찍은 거라 설명이 두서가 없을 수 있습니다.,,
개념의 중요성은 백번을 중요해도 모자랍니다,개념의 중요성은 백 번을 중요해도 모자랍니다.,,
유럽 자유주의 운동에대해 질문이있읍니다.,유럽 자유주의 운동에 대해 질문이 있습니다.,,
이파트는동아시아 시엄 범위에들어가나요?,이 파트는 동아시아 시험 범위에 들어가나요?,,
너의 칼럼을 보면 다시 수능이 보고십다.,너의 칼럼을 보면 다시 수능이 보고 싶다.,,
난이두체감은자신의 노력에따라달라지는거라서요.,난이도 체감은 자신의 노력에 따라 달라지는 거라서요.,,
한것에서 포에 해당하는건가여?,한 것에서 포에 해당하는 건가요?,,
보기 작은글씨에 성별 정규직 근로자수와 비정규직 근로자수가 갗다고...,보기 작은 글씨에 성별 정규직 근로자 수와 비정규직 근로자 수가 같다고...,,
얼굴을 모르는대 아는사이라니 조선시대 양반가 남녀관계냐?,얼굴을 모르는데 아는 사이라니 조선시대 양반가 남녀관계냐?,,
교제도 빨리사고싶은데 감사합니다.,교재도 빨리 사고 싶은데 감사합니다.,,
하지만 중요한건 내가 얼만큼 해낼 수 있는지가 중요하기 떄문에 공부할 수 있는 양을 체크하는게 도움이 될 것 같아요!,하지만 중요한 건 내가 얼마만큼 해낼 수 있는지가 중요하기 때문에 공부할 수 있는 양을 체크하는 게 도움이 될 것 같아요!,,
다음주부터 문학 쫌 풀게요.,다음 주부터 문학 좀 풀게요.,,
실수를해서틀리는것이아니구 아예 방법을 잘모르는듯한느낌이듭니다.,실수를 해서 틀리는 것이 아니고 아예 방법을 잘 모르는 듯한 느낌이 듭니다.,,
작년강이랑 많이다른가요?,작년 강의랑 많이 다른가요?,,
문화의 좁은 의미 넓은 의미 사례가나오면 구분을못하겟어요.,문화의 좁은 의미 넓은 의미 사례가 나오면 구분을 못하겠어요.,,
네일 꼭 잘 봐서 잘 봤다고 하고 싶네요,내일 꼭 잘 봐서 잘 봤다고 하고 싶네요.,,
아니면 다른것을 의미하는건가여?,아니면 다른 것을 의미하는 건가요?,,
단 가로방향밖꼐 못움직임,"단, 가로 방향밖에 못 움직임.",,
아니면정확한 근거가 부족한건가여?,아니면 정확한 근거가 부족한 건가요?,,
적성에도 안맞는거같고 제가 제 공부해서 실력 기르는걸 더 하고싶어서요!,적성에도 안 맞는 거 같고 제가 제 공부 해서 실력 기르는 걸 더 하고 싶어서요.,,
글고 연해주에도 대한민국 임시정부가 존재했는지 궁금함니다.,그리고 연해주에도 대한민국 임시정부가 존재했는지 궁금합니다.,,
사람마다 다르겟지만 다들 이 교재 문제풀이만 얼마정도 걸리나요?,사람마다 다르겠지만 다들 이 교재 문제풀이만 얼마 정도 걸리나요?,,
그리거 각각 장단점이무엇인가요?,그리고 각각 장단점이 무엇인가요?,,
하셧는데어디서 볼수있쓸까요.,하셨는데 어디서 볼 수 있을까요.,,
주재를구민하느라 넘 늦었어요,주제를 고민하느라 너무 늦었어요.,,
그 특정한사회 내에서공유돼는구나?,그 특정한 사회 내에서 공유되는구나?,,
성의껏 이러해서모르니 혹시 개념도 적용해서 쉽게설명가능하냐고 여쭙기도해요,성의껏 이러해서 모르니 혹시 개념도 적용해서 쉽게 설명 가능하냐고 여쭙기도 해요.,,
먼저 다가가구 그러면 됩니다,먼저 다가가고 그러면 됩니다.,,
국어를 못 바서 지원하기가 또 어렵습니다,국어를 못 봐서 지원하기가 또 어렵습니다.,,
추풍은 계절을드러내는시어로 볼스없나요?,추풍은 계절을 드러내는 시어로 볼 수 없나요?,,
분리두 가는은 한거니까 겹문장이라고 보는 건가요?,분리도 가능은 한 거니까 겹문장이라고 보는 건가요?,,
산사태는지형과관련됀 자연재해인가요 아니면 기후와관련됀 자연재해인가요.,산사태는 지형과 관련된 자연재해인가요 아니면 기후와 관련된 자연재해인가요.,,
볼거리가 많아서 재미있었던 기억이 나내요,볼거리가 많아서 재미있었던 기억이 나네요.,,
진짜 헐거 넘무많니요,진짜 할 거 너무 많네요.,,
가의시간은 걍 고유시간인가요?,가의 시간은 그냥 고유 시간인가요?,,
다행이 계약서쓰고한다고했대.,다행히 계약서 쓰고 한다고 했대.,,
찍었다면 그거 점스에 반영하셧나요?,찍었다면 그거 점수에 반영하셨나요?,,
정성스러운 댓글 남겨 주셔서 너므 감사합니다,정성스러운 댓글을 남겨 주셔서 너무 감사합니다.,,
그리고 짧은 시간으로 급박하게 풀다보면 시간 배분이 몸에 익어서 상대적으로 모의고사 떄는 시간이 남더라고요!,그리고 짧은 시간으로 급박하게 풀다 보면 시간 배분이 몸에 익어서 상대적으로 모의고사 때는 시간이 남더라고요!,,
특수 상대성이론에서 수직인 위치에있는길이는수축되지않는다구...,특수 상대성 이론에서 수직인 위치에 있는 길이는 수축되지 않는다고...,,
몆점정두 받을수잇을까요?,몇 점 정도 받을 수 있을까요?,,
이점을보구 상호 배타적이지안다고...,이 점을 보고 상호 배타적이지 않다고...,,
어떻기하면이런선지를 직관적으로 볼수있슬가요.,어떻기 하면 이런 선지를 직관적으로 볼 수 있을까요.,,
